zHD,MU
0.6880000000000001,42.61222399119223
0.6890000000000001,42.615657552848475
0.6900000000000001,42.61908632802076
0.6910000000000001,42.62251033023864
0.6920000000000001,42.625929572973696
0.6930000000000001,42.629344069639814
0.6940000000000001,42.63275383359353
0.6950000000000001,42.63615887813438
0.6960000000000001,42.63955921650519
0.6970000000000001,42.64295486189242
0.6980000000000001,42.64634582742649
0.6990000000000001,42.64973212618209
0.7000000000000001,42.6531137711785
0.7010000000000001,42.65649077537991
0.7020000000000001,42.6598631516957
0.7030000000000001,42.66323091298082
0.704,42.66659407203603
0.705,42.66995264160822
0.706,42.67330663439075
0.707,42.676656063023714
0.708,42.680000940094246
0.709,42.68334127813684
0.71,42.686677089633605
0.711,42.69000838701461
0.712,42.69333518265812
0.713,42.69665748889092
0.714,42.6999753179886
0.715,42.70328868217584
0.716,42.70659759362667
0.717,42.70990206446477
0.718,42.713202106763745
0.719,42.71649773254744
0.72,42.719788953790115
0.721,42.72307578241684
0.722,42.72635823030368
0.723,42.72963630927801
0.724,42.732910031118756
0.725,42.73617940755667
0.726,42.739444450274604
0.727,42.742705170907755
0.728,42.74596158104394
0.729,42.74921369222386
0.73,42.75246151594132
0.731,42.75570506364353
0.732,42.75894434673134
0.733,42.76217937655949
0.734,42.76541016443683
0.735,42.76863672162665
0.736,42.77185905934682
0.737,42.775077188770155
0.738,42.77829112102452
0.739,42.781500867193216
0.74,42.78470643831509
0.741,42.78790784538487
0.742,42.79110509935336
0.743,42.794298211127646
0.744,42.79748719157141
0.745,42.800672051505096
0.746,42.80385280170615
0.747,42.80702945290926
0.748,42.81020201580661
0.749,42.81337050104804
0.75,42.81653491924132
0.751,42.81969528095239
0.752,42.822851596705505
0.753,42.82600387698355
0.754,42.82915213222817
0.755,42.83229637284005
0.756,42.83543660917911
0.757,42.83857285156472
0.758,42.841705110275896
0.759,42.84483339555155
0.76,42.847957717590646
0.761,42.85107808655247
0.762,42.854194512556774
0.763,42.857307005684056
0.764,42.860415575975686
0.765,42.863520233434166
0.766,42.8666209880233
0.767,42.86971784966842
0.768,42.87281082825657
0.769,42.87589993363669
0.77,42.878985175619846
0.771,42.8820665639794
0.772,42.88514410845123
0.773,42.88821781873387
0.774,42.89128770448877
0.775,42.89435377534044
0.776,42.897416040876664
0.777,42.90047451064865
0.778,42.903529194171284
0.779,42.906580100923236
0.78,42.909627240347206
0.781,42.91267062185008
0.782,42.91571025480312
0.783,42.91874614854215
0.784,42.92177831236769
0.785,42.924806755545234
0.786,42.92783148730531
0.787,42.93085251684374
0.788,42.93386985332179
0.789,42.93688350586633
0.79,42.93989348357002
0.791,42.942899795491485
0.792,42.94590245065549
0.793,42.948901458053086
0.794,42.9518968266418
0.795,42.95488856534581
0.796,42.95787668305608
0.797,42.960861188630545
0.798,42.9638420908943
0.799,42.9668193986397
0.8,42.9697931206266
0.801,42.972763265582444
0.802,42.97572984220247
0.803,42.978692859149874
0.804,42.98165232505595
0.805,42.98460824852021
